"Gene.symbol"	"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"
"CXCL8"	9.79510034600506	8.71193541480122	45.4268583140804	1.39998416501191e-14	8.8266715875574e-12	24.0211830857338
"IL1B"	9.36912941596711	8.14213571643938	40.7275060466717	5.01954615689819e-14	1.68154796256089e-11	22.7656336130458
"INHBA"	9.22775750965237	5.12146896168085	32.9046783896275	6.04410980852409e-13	8.46423082611754e-11	19.8680822593477
"AC005027.3"	9.20043805729142	5.13797656720343	32.8354528023484	6.19416805634048e-13	8.50268963833902e-11	19.85799233119
"CXCL1"	8.8771531135576	4.84533328687958	24.0951152129829	2.2447256450639e-11	1.2174964332037e-09	16.6114439063187
"IL7R"	7.90158613412035	7.05178110846377	41.4601077916078	4.07548641266409e-14	1.48376251717715e-11	22.9226501301517
"CCDC152"	-7.52413585777566	5.13176111624824	-34.8002854276207	3.1471464787122e-13	5.78665360988728e-11	20.2883715958607
"WTAPP1"	7.35662554262767	4.54888839760001	15.573624223149	3.27990616824493e-09	5.40377983456746e-08	11.7123287163601
"SEPP1"	-7.33035013786252	5.72688230319588	-41.9877078178682	3.51550052936226e-14	1.36505287600351e-11	22.3358159852601
"SERPINB2"	6.9900082889749	5.90859640762897	19.8078608356925	2.13577372135524e-10	6.610451816912e-09	14.3903626269737
"SERPINB10"	6.94290895767632	5.53966953958619	17.5110219236351	8.70833780710108e-10	1.91482562978535e-08	12.97157085581
"PTGS2"	6.91484815154273	4.8293429185301	13.1406272901297	2.18603525476157e-08	2.51504460118528e-07	9.70194220374833
"MT2A"	6.90343547275666	4.85425012480854	27.8981371209034	4.11653508138605e-12	3.37843261879227e-10	18.3320132476804
"CCL24"	6.68977290492374	5.74039208543496	29.91315856912	1.83184284694922e-12	1.79260589141812e-10	19.2006626554802
"RP1-28O10.1"	6.57250118002504	5.79319057758357	48.6226997374878	6.31740417330305e-15	6.42563158154237e-12	24.4615968388617
"CD300E"	6.41476004727557	4.4054403824947	47.5797322893876	8.14298219453882e-15	7.32225530493136e-12	23.6075946581623
"RSAD2"	6.37883215970882	5.6313093809089	29.9071153439883	1.8361488498576e-12	1.79260589141812e-10	19.1986763243992
"G0S2"	6.36824771409823	5.53802515628216	33.8519373688079	4.34269578703353e-13	6.8490341147359e-11	20.5859333317212
"EREG"	6.26737508682654	5.06576752276096	14.4485581313544	7.60726568146037e-09	1.06011528684951e-07	10.7295180099864
"CXCL3"	5.7985032411592	6.02379781449529	25.089973990113	1.40652843076591e-11	8.55179296784187e-10	17.1339166405346
"CCL7"	5.7258994623755	4.88042027325975	40.5954788947456	5.21365247982688e-14	1.7129856272662e-11	22.4606181829989
"MT1A"	5.68116266167218	5.48862376822546	36.1959696556234	1.9896412535934e-13	4.09554467682449e-11	21.3659228448159
"SOCS3"	5.65404588123531	5.99786409964666	44.2749125062908	1.89069550476923e-14	9.50074491146539e-12	23.6535690822892
"VCAN"	5.5378000148715	5.49993196323744	42.1018270945101	3.40570696121855e-14	1.36505287600351e-11	23.0283387973793
"VCAN-AS1"	5.53651991719131	5.26746686634439	42.0332659886718	3.47121562677828e-14	1.36505287600351e-11	22.9576171437563
"HS3ST3B1"	5.53436723015102	4.32307679444394	28.2303333763235	3.58831433702752e-12	3.05690015961729e-10	18.4775181328066
"CCL3"	5.51863673405201	5.87341692457766	25.2685733865023	1.29576840201296e-11	7.99213110050232e-10	17.2186684451805
"AC069363.1"	5.49524095514237	5.88699872085639	25.3316491744227	1.25894053484187e-11	7.88038499782099e-10	17.2465961534425
"SLC40A1"	-5.46930584244445	3.12306450341041	-25.413301038388	1.21294164370435e-11	7.67191782497556e-10	17.0121654139898
"MT1X"	5.36319441073805	3.7883255054572	24.1559047620656	2.18036133157826e-11	1.20070925968538e-09	16.7058769049016
"RP11-343H19.2"	5.36310737685492	3.78821064170057	24.215586298073	2.11911113585584e-11	1.18317038418618e-09	16.7333060621591
"NAMPTP1"	5.30258791600459	6.83604589564028	29.4335903446397	2.21022883581861e-12	2.05226954673701e-10	18.9747820436824
"NAMPT"	5.27623833581089	7.52276088389335	32.1233480637558	7.99536689535336e-13	9.97086448227095e-11	19.9922800875004
"CCL4"	5.243263422067	4.54395433870384	20.2958011918031	1.6163081693404e-10	5.2901580599963e-09	14.7191718407061
